万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600000.SH,600000,20240102,91500020,0,25,A,S,72700,100,
600000.SH,600000,20240102,91500020,0,39,A,B,60100,100,
600000.SH,600000,20240102,91500020,0,107,A,S,72800,100,
600000.SH,600000,20240102,91500020,0,121,A,B,60100,100,
600000.SH,600000,20240102,91500020,0,157,A,B,59600,100,
600000.SH,600000,20240102,91500060,0,233,A,B,59600,100,
600000.SH,600000,20240102,91500060,0,234,A,B,59600,100,
600000.SH,600000,20240102,91500210,0,385,A,B,65500,1000,
600000.SH,600000,20240102,91500210,0,415,A,B,66300,10000,
600000.SH,600000,20240102,91500210,0,423,A,B,60100,100,
600000.SH,600000,20240102,91500230,0,107,D,S,72800,100,
600000.SH,600000,20240102,91500280,0,792,A,B,59600,100,
600000.SH,600000,20240102,91500280,0,793,A,B,59600,100,
600000.SH,600000,20240102,91500280,0,824,A,B,59600,100,
600000.SH,600000,20240102,91500280,0,880,A,B,59600,100,
600000.SH,600000,20240102,91500280,0,1216,A,S,66700,3000,
600000.SH,600000,20240102,91500340,0,1385,A,B,59600,100,
600000.SH,600000,20240102,91500340,0,1399,A,S,67000,500,
600000.SH,600000,20240102,91500340,0,1400,A,S,67500,500,
600000.SH,600000,20240102,91500340,0,1444,A,B,60100,100,
600000.SH,600000,20240102,91500340,0,1450,A,B,59600,100,
600000.SH,600000,20240102,91500340,0,1451,A,B,59600,100,
600000.SH,600000,20240102,91500340,0,1450,D,B,59600,100,
600000.SH,600000,20240102,91500340,0,1451,D,B,59600,100,
600000.SH,600000,20240102,91500340,0,1459,A,S,66900,1000,
600000.SH,600000,20240102,91500380,0,1633,A,S,72800,100,
600000.SH,600000,20240102,91500430,0,1762,A,S,68000,1500,
600000.SH,600000,20240102,91500480,0,2381,A,S,66900,3000,
600000.SH,600000,20240102,91500480,0,2547,A,B,59600,100,
600000.SH,600000,20240102,91500480,0,2571,A,B,66300,200,
600000.SH,600000,20240102,91500500,0,2813,A,B,65100,300,
600000.SH,600000,20240102,91500540,0,3005,A,S,66300,4900,
600000.SH,600000,20240102,91500540,0,3010,A,S,66300,4800,
600000.SH,600000,20240102,91500540,0,3014,A,S,66300,5200,
600000.SH,600000,20240102,91500540,0,3019,A,S,66300,6200,
600000.SH,600000,20240102,91500540,0,3020,A,S,66300,5200,
600000.SH,600000,20240102,91500540,0,3025,A,S,66300,5900,
600000.SH,600000,20240102,91501030,0,3282,A,S,69000,3000,
600000.SH,600000,20240102,91501060,0,3406,A,S,67000,20000,
600000.SH,600000,20240102,91501060,0,3486,A,S,66300,200,
600000.SH,600000,20240102,91501060,0,3516,A,B,65300,2500,
600000.SH,600000,20240102,91501060,0,3616,A,S,68600,500,
600000.SH,600000,20240102,91501080,0,3669,A,S,70000,500,
600000.SH,600000,20240102,91501080,0,3781,A,B,65600,500,
600000.SH,600000,20240102,91501110,0,4091,A,B,66100,3000,
600000.SH,600000,20240102,91501240,0,4502,A,S,69600,2000,
600000.SH,600000,20240102,91501240,0,4747,A,B,66200,3000,
600000.SH,600000,20240102,91501240,0,4772,A,S,68800,3000,
600000.SH,600000,20240102,91501240,0,4855,A,B,65300,1500,
600000.SH,600000,20240102,91501240,0,4896,A,B,65500,3000,
600000.SH,600000,20240102,91501290,0,5469,A,S,71000,2200,
600000.SH,600000,20240102,91501290,0,5923,A,B,65000,1000,
600000.SH,600000,20240102,91501340,0,6043,A,S,67500,1500,
600000.SH,600000,20240102,91501340,0,6415,A,B,65100,2000,
600000.SH,600000,20240102,91501340,0,6433,A,B,65200,2000,
600000.SH,600000,20240102,91501340,0,6453,A,B,65300,2000,
600000.SH,600000,20240102,91501340,0,6454,A,B,65400,2000,
600000.SH,600000,20240102,91501340,0,6475,A,B,65500,2000,
600000.SH,600000,20240102,91501340,0,6476,A,B,65600,2000,
600000.SH,600000,20240102,91501340,0,6508,A,B,65700,2000,
600000.SH,600000,20240102,91501340,0,6524,A,B,65800,2000,
600000.SH,600000,20240102,91501340,0,6547,A,B,65900,2000,
600000.SH,600000,20240102,91501340,0,6558,A,B,66000,2000,
600000.SH,600000,20240102,91501340,0,6579,A,S,66400,2000,
600000.SH,600000,20240102,91501340,0,6593,A,S,66600,2000,
600000.SH,600000,20240102,91501340,0,6603,A,S,66800,2000,
600000.SH,600000,20240102,91501340,0,6615,A,S,67000,2000,
600000.SH,600000,20240102,91501340,0,6630,A,S,67200,2000,
600000.SH,600000,20240102,91501340,0,6876,A,S,67000,3700,
600000.SH,600000,20240102,91501420,0,7345,A,S,68200,2900,
600000.SH,600000,20240102,91501420,0,7407,A,S,71000,500,
600000.SH,600000,20240102,91501420,0,7507,A,B,65600,7300,
600000.SH,600000,20240102,91501420,0,7568,A,S,68300,200,
600000.SH,600000,20240102,91501420,0,7572,A,S,72300,200,
600000.SH,600000,20240102,91501420,0,7586,A,S,68600,300,
600000.SH,600000,20240102,91501420,0,7602,A,S,69000,1000,
600000.SH,600000,20240102,91501420,0,7624,A,B,64000,1000,
600000.SH,600000,20240102,91501420,0,8022,A,S,72800,1300,
600000.SH,600000,20240102,91501420,0,8278,A,B,64100,100,
600000.SH,600000,20240102,91501420,0,8536,A,S,67100,500,
600000.SH,600000,20240102,91501420,0,8550,A,S,67600,500,
600000.SH,600000,20240102,91501520,0,8614,A,S,68500,3800,
600000.SH,600000,20240102,91501520,0,8629,A,B,65100,3900,
600000.SH,600000,20240102,91501520,0,8709,A,S,66200,1000,
600000.SH,600000,20240102,91501520,0,8722,A,S,67000,1000,
600000.SH,600000,20240102,91501520,0,8723,A,B,66100,1000,
600000.SH,600000,20240102,91501520,0,8795,A,S,70000,2000,
600000.SH,600000,20240102,91501520,0,8819,A,B,65200,1600,
600000.SH,600000,20240102,91501520,0,9074,A,S,69900,3800,
600000.SH,600000,20240102,91501520,0,9090,A,S,68200,3900,
600000.SH,600000,20240102,91501520,0,9218,A,S,67700,1000,
600000.SH,600000,20240102,91501520,0,9391,A,S,71300,300,
600000.SH,600000,20240102,91501520,0,9558,A,S,71100,2000,
600000.SH,600000,20240102,91501520,0,9618,A,S,71000,1400,
600000.SH,600000,20240102,91501520,0,9653,A,B,63000,2000,
600000.SH,600000,20240102,91501520,0,9674,A,S,67800,15000,
600000.SH,600000,20240102,91501520,0,9995,A,B,65800,1000,
600000.SH,600000,20240102,91501520,0,10002,A,S,66200,100,
600000.SH,600000,20240102,91501520,0,10024,A,B,65700,1000,
600000.SH,600000,20240102,91501520,0,10027,A,B,65600,1000,
600000.SH,600000,20240102,91501520,0,10030,A,B,65500,2000,
600000.SH,600000,20240102,91501520,0,10088,A,S,66600,500,
600000.SH,600000,20240102,91501520,0,10099,A,S,66700,500,
600000.SH,600000,20240102,91501520,0,10118,A,S,66800,500,
600000.SH,600000,20240102,91501520,0,10127,A,S,66900,500,
600000.SH,600000,20240102,91501520,0,10135,A,S,67000,500,
600000.SH,600000,20240102,91501520,0,10219,A,B,65900,4500,
600000.SH,600000,20240102,91501520,0,10243,A,B,65800,5400,
600000.SH,600000,20240102,91501520,0,10555,A,B,66000,1000,
600000.SH,600000,20240102,91501680,0,11480,A,B,66000,5300,
600000.SH,600000,20240102,91501680,0,11491,A,B,66000,2000,
600000.SH,600000,20240102,91501680,0,11740,A,B,65800,100,
600000.SH,600000,20240102,91501780,0,12284,A,B,65200,1000,
600000.SH,600000,20240102,91501780,0,12486,A,S,69800,2000,
600000.SH,600000,20240102,91501780,0,12979,A,S,72800,6600,
600000.SH,600000,20240102,91501780,0,13635,A,S,68000,4000,
600000.SH,600000,20240102,91501780,0,13651,A,S,68200,4000,
600000.SH,600000,20240102,91501780,0,13847,A,S,69900,5000,
600000.SH,600000,20240102,91501900,0,14805,A,B,66200,200,
600000.SH,600000,20240102,91501900,0,15026,A,S,67900,300,
600000.SH,600000,20240102,91501900,0,15218,A,B,66300,700,
600000.SH,600000,20240102,91501900,0,15222,A,S,69900,300,
600000.SH,600000,20240102,91501900,0,15246,A,S,72800,300,
600000.SH,600000,20240102,91501900,0,15416,A,B,66300,8200,
600000.SH,600000,20240102,91501900,0,15769,A,S,67800,11900,
600000.SH,600000,20240102,91501900,0,16071,A,S,67000,11600,
600000.SH,600000,20240102,91501900,0,16090,A,B,65800,2000,
600000.SH,600000,20240102,91502020,0,16314,A,B,66300,800,
600000.SH,600000,20240102,91502020,0,16347,A,B,65500,500,
600000.SH,600000,20240102,91502020,0,16348,A,S,67800,500,
600000.SH,600000,20240102,91502020,0,16695,A,S,67800,3900,
600000.SH,600000,20240102,91502020,0,16708,A,S,68000,3900,
600000.SH,600000,20240102,91502020,0,16722,A,S,68200,4030,
600000.SH,600000,20240102,91502020,0,17488,A,B,64200,400,
600000.SH,600000,20240102,91502020,0,17566,A,S,68000,200,
600000.SH,600000,20240102,91502020,0,17573,A,S,67600,3000,
600000.SH,600000,20240102,91502020,0,17585,A,S,68600,1000,
600000.SH,600000,20240102,91502020,0,17593,A,S,69700,1000,
600000.SH,600000,20240102,91502020,0,17605,A,S,70800,3000,
600000.SH,600000,20240102,91502020,0,17614,A,S,71900,1000,
600000.SH,600000,20240102,91502020,0,17698,A,S,70600,3000,
600000.SH,600000,20240102,91502020,0,18085,A,S,66900,11100,
600000.SH,600000,20240102,91502140,0,18514,A,S,66900,1000,
600000.SH,600000,20240102,91502140,0,18523,A,B,66100,1100,
600000.SH,600000,20240102,91502140,0,18657,A,S,69300,3000,
600000.SH,600000,20240102,91502140,0,18858,A,S,66200,300,
600000.SH,600000,20240102,91502140,0,19182,A,B,65800,100000,
600000.SH,600000,20240102,91502140,0,19426,A,S,72800,1000,
600000.SH,600000,20240102,91502140,0,19466,A,S,69000,300,
600000.SH,600000,20240102,91502260,0,20310,A,B,60000,2000,
600000.SH,600000,20240102,91502260,0,20861,A,S,68000,600,
600000.SH,600000,20240102,91502260,0,21843,A,S,66200,4815,
600000.SH,600000,20240102,91502260,0,21850,A,S,66700,5800,
600000.SH,600000,20240102,91502400,0,22771,A,S,72000,200,
600000.SH,600000,20240102,91502400,0,22809,A,S,69800,5000,
600000.SH,600000,20240102,91502400,0,23280,A,S,67500,8000,
600000.SH,600000,20240102,91502400,0,23452,A,S,68000,200,
600000.SH,600000,20240102,91502400,0,23485,A,S,70600,3000,
600000.SH,600000,20240102,91502400,0,23498,A,S,71000,3000,
600000.SH,600000,20240102,91502400,0,23508,A,S,66000,400,
600000.SH,600000,20240102,91502400,0,23533,A,B,65500,8000,
600000.SH,600000,20240102,91502400,0,23550,A,S,70000,200,
600000.SH,600000,20240102,91502400,0,23551,A,S,71600,3100,
600000.SH,600000,20240102,91502400,0,23748,A,B,66000,5200,
600000.SH,600000,20240102,91502400,0,23817,A,S,67700,400,
600000.SH,600000,20240102,91502400,0,24012,A,S,70500,800,
600000.SH,600000,20240102,91502400,0,24029,A,S,72700,3500,
600000.SH,600000,20240102,91502530,0,24176,A,S,67200,5100,
600000.SH,600000,20240102,91502530,0,24192,A,S,67900,5000,
600000.SH,600000,20240102,91502530,0,24224,A,B,65300,11800,
600000.SH,600000,20240102,91502530,0,24372,A,S,72800,10000,
600000.SH,600000,20240102,91502530,0,24377,A,S,67200,800,
600000.SH,600000,20240102,91502530,0,24378,A,S,67700,800,
600000.SH,600000,20240102,91502530,0,24379,A,S,68200,800,
600000.SH,600000,20240102,91502530,0,24380,A,S,68700,800,
600000.SH,600000,20240102,91502530,0,24381,A,S,69200,800,
600000.SH,600000,20240102,91502530,0,24382,A,S,69700,800,
600000.SH,600000,20240102,91502530,0,24383,A,S,70200,800,
600000.SH,600000,20240102,91502530,0,24384,A,S,70700,800,
600000.SH,600000,20240102,91502530,0,24401,A,S,71200,800,
600000.SH,600000,20240102,91502530,0,24402,A,S,71700,800,
600000.SH,600000,20240102,91502530,0,24403,A,S,72100,800,
600000.SH,600000,20240102,91502530,0,24404,A,S,72500,800,
600000.SH,600000,20240102,91502530,0,24405,A,S,72800,1200,
600000.SH,600000,20240102,91502530,0,24406,A,B,65600,1000,
600000.SH,600000,20240102,91502530,0,24407,A,B,65200,1000,
600000.SH,600000,20240102,91502530,0,24416,A,B,62100,600,
600000.SH,600000,20240102,91502530,0,24550,A,S,70500,500,
600000.SH,600000,20240102,91502530,0,24611,A,S,70400,4500,
600000.SH,600000,20240102,91502580,0,24721,A,S,66600,24000,
600000.SH,600000,20240102,91502580,0,24732,A,S,66700,27000,
600000.SH,600000,20240102,91502580,0,24743,A,S,62800,28000,
600000.SH,600000,20240102,91502580,0,24753,A,S,66900,27000,
600000.SH,600000,20240102,91502580,0,24806,A,S,67200,600,
600000.SH,600000,20240102,91502580,0,24820,A,S,67400,600,
600000.SH,600000,20240102,91502580,0,24856,A,B,66000,1000,
600000.SH,600000,20240102,91502580,0,24949,A,S,69200,500,
600000.SH,600000,20240102,91502580,0,24953,A,S,70500,500,
600000.SH,600000,20240102,91502580,0,25014,A,S,68000,1000,
600000.SH,600000,20240102,91502580,0,25263,A,S,69200,800,
600000.SH,600000,20240102,91502580,0,25264,A,S,71700,1500,
600000.SH,600000,20240102,91502580,0,25434,A,S,72800,300,
600000.SH,600000,20240102,91502580,0,25839,A,S,68200,2000,
600000.SH,600000,20240102,91502580,0,26035,A,B,60300,20000,
600000.SH,600000,20240102,91502580,0,26074,A,S,68500,500,
600000.SH,600000,20240102,91502580,0,26344,A,S,66900,4000,
600000.SH,600000,20240102,91502700,0,26587,A,B,66300,100,
600000.SH,600000,20240102,91502700,0,26856,A,S,66200,100,
600000.SH,600000,20240102,91502700,0,27229,A,B,66300,100,
600000.SH,600000,20240102,91502700,0,27231,A,B,65100,900,
600000.SH,600000,20240102,91502700,0,28151,A,S,66900,1100,
600000.SH,600000,20240102,91502700,0,28195,A,S,66600,3000,
600000.SH,600000,20240102,91502700,0,28232,A,B,66000,4000,
600000.SH,600000,20240102,91502700,0,28237,A,B,65700,4000,
600000.SH,600000,20240102,91502700,0,28245,A,B,65400,4000,
600000.SH,600000,20240102,91502700,0,28251,A,B,65100,4000,
600000.SH,600000,20240102,91502700,0,28255,A,B,64800,4000,
600000.SH,600000,20240102,91502700,0,28257,A,B,61000,1000,
600000.SH,600000,20240102,91502700,0,28452,A,S,66900,4000,
600000.SH,600000,20240102,91502700,0,28459,A,S,67200,4000,
600000.SH,600000,20240102,91502700,0,28467,A,S,67500,4000,
600000.SH,600000,20240102,91502700,0,28477,A,S,67800,4000,
600000.SH,600000,20240102,91502700,0,28481,A,S,68100,4000,
600000.SH,600000,20240102,91502700,0,28483,A,S,68400,4000,
600000.SH,600000,20240102,91502810,0,28488,A,S,68700,4000,
600000.SH,600000,20240102,91502810,0,28532,A,S,66900,3000,
600000.SH,600000,20240102,91502810,0,28533,A,S,67100,3000,
600000.SH,600000,20240102,91502810,0,28681,A,B,65900,6000,
600000.SH,600000,20240102,91502810,0,28687,A,B,65700,6000,
600000.SH,600000,20240102,91502810,0,28699,A,B,65500,6000,
600000.SH,600000,20240102,91502810,0,28762,A,S,67500,10000,
600000.SH,600000,20240102,91502810,0,28783,A,S,68800,800,
600000.SH,600000,20240102,91502810,0,28938,A,B,65800,6000,
600000.SH,600000,20240102,91502810,0,28943,A,B,65700,10000,
600000.SH,600000,20240102,91502810,0,28947,A,B,65600,5000,
