万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
300446.SZ,300446,20171229,93939000,66,215400,1,1,500,
300446.SZ,300446,20171229,93942000,65,215700,1,1,300,
300446.SZ,300446,20171229,93942000,66,215600,1,1,1200,
300446.SZ,300446,20171229,93945000,65,215700,1,1,300,
300446.SZ,300446,20171229,93945000,66,215400,1,1,500,
300446.SZ,300446,20171229,93951000,65,215400,1,1,1200,
300446.SZ,300446,20171229,93951000,66,215300,1,1,2800,
300446.SZ,300446,20171229,94003000,65,215400,1,1,200,
300446.SZ,300446,20171229,94003000,66,215300,1,1,2800,
300446.SZ,300446,20171229,94024000,65,215700,1,1,300,
300446.SZ,300446,20171229,94024000,66,215300,2,2,2800,400,
300446.SZ,300446,20171229,94027000,65,215700,1,1,300,
300446.SZ,300446,20171229,94027000,66,215400,1,1,400,
300446.SZ,300446,20171229,94030000,65,215700,1,1,200,
300446.SZ,300446,20171229,94030000,66,215400,1,1,400,
300446.SZ,300446,20171229,94039000,65,215400,1,1,200,
300446.SZ,300446,20171229,94039000,66,215300,2,2,2800,400,
300446.SZ,300446,20171229,94051000,65,215400,1,1,200,
300446.SZ,300446,20171229,94051000,66,215300,2,2,1300,400,
300446.SZ,300446,20171229,94100000,65,215700,2,2,200,100,
300446.SZ,300446,20171229,94100000,66,215300,2,2,1300,400,
300446.SZ,300446,20171229,94106000,65,215700,2,2,200,100,
300446.SZ,300446,20171229,94106000,66,215400,1,1,200,
300446.SZ,300446,20171229,94121000,65,215700,4,4,200,100,900,1500,
300446.SZ,300446,20171229,94121000,66,215400,1,1,200,
300446.SZ,300446,20171229,94127000,65,215700,5,5,200,100,900,1500,100,
300446.SZ,300446,20171229,94127000,66,215400,1,1,200,
300446.SZ,300446,20171229,94130000,65,215700,4,4,200,100,900,1500,
300446.SZ,300446,20171229,94130000,66,215400,1,1,200,
300446.SZ,300446,20171229,94136000,65,215700,4,4,200,100,900,1500,
300446.SZ,300446,20171229,94136000,66,215400,2,2,200,100,
300446.SZ,300446,20171229,94139000,65,215800,1,1,300,
300446.SZ,300446,20171229,94139000,66,215700,1,1,3100,
300446.SZ,300446,20171229,94142000,65,215800,1,1,300,
300446.SZ,300446,20171229,94142000,66,215700,2,2,3100,200,
300446.SZ,300446,20171229,94145000,65,215800,1,1,300,
300446.SZ,300446,20171229,94145000,66,215700,3,3,3100,200,1800,
300446.SZ,300446,20171229,94148000,65,215800,1,1,300,
300446.SZ,300446,20171229,94148000,66,215700,3,3,1400,200,1800,
300446.SZ,300446,20171229,94221000,65,215800,1,1,300,
300446.SZ,300446,20171229,94221000,66,215700,2,2,1400,1800,
300446.SZ,300446,20171229,94230000,65,216200,1,1,800,
300446.SZ,300446,20171229,94230000,66,215800,1,1,1900,
300446.SZ,300446,20171229,94248000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94248000,66,215800,1,1,1900,
300446.SZ,300446,20171229,94251000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94251000,66,215800,1,1,1300,
300446.SZ,300446,20171229,94303000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94303000,66,215900,1,1,8000,
300446.SZ,300446,20171229,94312000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94312000,66,216000,1,1,500,
300446.SZ,300446,20171229,94336000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94336000,66,215800,1,1,1300,
300446.SZ,300446,20171229,94339000,65,216100,1,1,1800,
300446.SZ,300446,20171229,94339000,66,216000,1,1,200,
