万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
000001.SZ,1,20250102,91500000,0,,,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,31500,16600,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91500000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,31500,16600,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91509000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,76000,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,76000,26800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91518000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,87700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,87700,15500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91527000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,87700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,87700,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91536000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,87700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,87700,17700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91545000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,94700,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91554000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,94700,15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91603000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,96300,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,96300,16600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91612000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,96300,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,96300,18700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91621000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,94700,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91630000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,94700,28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91639000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,94700,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91648000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,94700,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91657000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,89100,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,89100,52800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91706000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,96500,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,96500,66800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91715000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117400,0,0,0,0,0,0,0,0,0,127800,106600,0,0,0,0,0,0,0,0,117400,0,0,0,0,0,0,0,0,0,127800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91724000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117400,0,0,0,0,0,0,0,0,0,128100,94600,0,0,0,0,0,0,0,0,117400,0,0,0,0,0,0,0,0,0,128100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91733000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,84800,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,84800,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91742000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,86600,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,86600,113300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91751000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,87000,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,87000,112100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91800000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,89400,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,89400,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91809000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,89400,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,89400,137400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91818000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,89900,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,89900,143500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91827000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,89900,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,89900,153000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91836000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,90000,145500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91845000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,90000,151600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91854000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117100,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,90000,158800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91903000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,92300,24800,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,92300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91912000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,99800,17300,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,99800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91921000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,103000,14100,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,103000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91930000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,106900,10200,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,106900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91939000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,107600,9500,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,107600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91948000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,111300,5800,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,111300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,91957000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,117100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92009000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,117100,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92018000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,117100,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,117100,12600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92027000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,122200,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,122200,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92036000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,132600,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,132600,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92045000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,132600,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,132600,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92054000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,136800,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,136800,10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92103000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,136800,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,136800,17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92112000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,145000,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,145000,118800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92121000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,145200,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,145200,119000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92130000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,145400,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,145400,122800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92139000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,145400,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,145400,123300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92148000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117200,0,0,0,0,0,0,0,0,0,145400,0,0,0,0,0,0,0,0,0,117200,0,0,0,0,0,0,0,0,0,145400,126300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92157000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,149300,2400,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,149300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92206000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,149800,1900,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,149800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92215000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,151700,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,151700,49100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92224000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,151700,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,151700,59700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92233000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,151800,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,151800,62600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92242000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,153000,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,153000,64800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92251000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,153000,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,153000,67800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92300000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,155500,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,155500,68300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92309000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,160900,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,160900,65200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92318000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,162900,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,162900,82500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92327000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,187800,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,187800,88900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92336000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,189900,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,189900,93900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92345000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,203900,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,203900,83400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92354000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,203900,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,203900,83700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92403000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,210000,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,210000,97700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92412000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,210000,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,210000,111700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92421000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,363400,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,363400,101400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92430000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,370800,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,370800,150500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92439000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,372400,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,372400,160300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92448000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,436000,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,436000,104800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92457000,0,0.0,0.0,0,0,,,0,0,0,0,0,117000,117300,0,0,0,0,0,0,0,0,0,551800,0,0,0,0,0,0,0,0,0,117300,0,0,0,0,0,0,0,0,0,551800,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20250102,92500000,117300,583500.0,6844455.0,248,0,,,583500,6844455,117300,117300,117300,117000,117400,117500,117600,117700,117800,117900,118000,118100,118200,118300,235800,211300,184300,168800,263500,381500,499200,328100,203700,152400,117300,117200,117100,117000,116900,116800,116700,116600,116500,116400,126800,253400,296800,425500,74900,583900,80200,177300,469900,70500,122200,115100,15157470,6884700,0,0,0,0,0,
000001.SZ,1,20250102,92500000,117300,0.0,0.0,248,0,,,583500,6844455,117300,117300,117300,117000,117400,117500,117600,117700,117800,117900,118000,118100,118200,118300,235800,211300,184300,168800,263500,381500,499200,328100,203700,152400,117300,117200,117100,117000,116900,116800,116700,116600,116500,116400,126800,253400,296800,425500,74900,583900,80200,177300,469900,70500,122200,115100,15157470,6884700,0,0,0,0,0,
000001.SZ,1,20250102,93000000,117300,773600.0,9083902.0,405,0,,,1357100,15928357,117600,117200,117300,117000,117500,117600,117700,117800,117900,118000,118100,118200,118300,118400,19200,136600,203000,261400,398300,502100,328900,216700,158200,68900,117400,117300,117200,117100,117000,116900,116800,116700,116600,116500,400,140200,222400,313800,486200,138900,603400,90500,192200,471100,122300,115300,15148529,7040700,0,0,0,0,0,
000001.SZ,1,20250102,93000000,117300,0.0,0.0,405,0,,,1357100,15928357,117600,117200,117300,117000,117500,117600,117700,117800,117900,118000,118100,118200,118300,118400,19200,136600,203000,261400,398300,502100,328900,216700,158200,68900,117400,117300,117200,117100,117000,116900,116800,116700,116600,116500,400,140200,222400,313800,486200,138900,603400,90500,192200,471100,122300,115300,15148529,7040700,0,0,0,0,0,
000001.SZ,1,20250102,93003000,117400,1116400.0,13106318.0,770,0,,,2473500,29034675,117600,117200,117300,117000,117500,117600,117700,117800,117900,118000,118100,118200,118300,118400,200,161700,249900,336000,439800,644100,370700,270600,217600,107400,117400,117300,117200,117100,117000,116900,116800,116700,116600,116500,133000,201700,366400,376400,644800,186700,702800,193000,266300,538000,122100,115400,16942729,8448900,0,0,0,0,0,
000001.SZ,1,20250102,93006000,117600,102900.0,1209045.0,848,0,,,2576400,30243720,117600,117200,117300,117000,117600,117700,117800,117900,118000,118100,118200,118300,118400,118500,137500,252300,341500,442700,646200,393900,268600,218200,107700,302700,117400,117300,117200,117100,117000,116900,116800,116700,116600,116500,131100,459300,372000,383200,649600,187600,706200,194000,267900,538200,122100,115500,16994629,8762300,0,0,0,0,0,
000001.SZ,1,20250102,93009000,117600,65200.0,766692.0,878,0,,,2641600,31010412,117600,117200,117300,117000,117600,117700,117800,117900,118000,118100,118200,118300,118400,118500,86900,252400,341500,442700,656200,393900,268600,218200,107700,303700,117500,117400,117300,117200,117100,117000,116900,116800,116700,116600,2200,141300,469000,372100,383200,649600,190800,706200,194000,267900,122100,115500,16956429,8781000,0,0,0,0,0,
000001.SZ,1,20250102,93012000,117500,38300.0,450016.0,904,0,,,2679900,31460428,117600,117200,117300,117000,117600,117700,117800,117900,118000,118100,118200,118300,118400,118500,89000,252400,341500,442700,656200,393900,268600,218200,107700,303700,117500,117400,117300,117200,117100,117000,116900,116800,116700,116600,12500,139000,469000,372100,384200,649600,190800,705700,194000,267900,122100,115500,16959029,8799500,0,0,0,0,0,
