万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
603538.SH,603538,20171229,93839000,66,269000,1,1,200,
603538.SH,603538,20171229,93851000,65,269000,1,1,1500,
603538.SH,603538,20171229,93851000,66,268800,2,2,500,900,
603538.SH,603538,20171229,93851000,65,269000,1,1,1500,
603538.SH,603538,20171229,93900000,66,268800,1,1,500,
603538.SH,603538,20171229,93906000,65,269000,1,1,500,
603538.SH,603538,20171229,93900000,66,268800,1,1,500,
603538.SH,603538,20171229,93909000,65,268800,1,1,500,
603538.SH,603538,20171229,93909000,66,268700,2,2,1000,900,
603538.SH,603538,20171229,93918000,65,270300,2,2,3000,300,
603538.SH,603538,20171229,93918000,66,269000,1,1,3600,
603538.SH,603538,20171229,93945000,65,270200,1,1,1100,
603538.SH,603538,20171229,93918000,66,269000,1,1,3600,
603538.SH,603538,20171229,93945000,65,270200,1,1,1100,
603538.SH,603538,20171229,93951000,66,269200,1,1,400,
603538.SH,603538,20171229,94015000,65,270000,1,1,100,
603538.SH,603538,20171229,93951000,66,269200,1,1,400,
603538.SH,603538,20171229,94045000,65,269200,1,1,600,
603538.SH,603538,20171229,94045000,66,269100,1,1,800,
603538.SH,603538,20171229,94100000,65,269200,2,2,600,20000,
603538.SH,603538,20171229,94045000,66,269100,1,1,800,
603538.SH,603538,20171229,94136000,65,269200,1,1,19600,
603538.SH,603538,20171229,94045000,66,269100,1,1,800,
603538.SH,603538,20171229,94136000,65,269200,1,1,19600,
603538.SH,603538,20171229,94142000,66,269000,1,1,2300,
603538.SH,603538,20171229,94157000,65,269200,2,2,19600,100,
603538.SH,603538,20171229,94142000,66,269000,1,1,2300,
603538.SH,603538,20171229,94239000,65,269200,1,1,19600,
603538.SH,603538,20171229,94239000,66,268700,2,2,900,200,
603538.SH,603538,20171229,94245000,65,269000,1,1,400,
603538.SH,603538,20171229,94239000,66,268700,2,2,900,200,
603538.SH,603538,20171229,94245000,65,269000,1,1,400,
603538.SH,603538,20171229,94312000,66,268700,3,3,900,200,200,
603538.SH,603538,20171229,94245000,65,269000,1,1,400,
603538.SH,603538,20171229,94321000,66,268800,1,1,1000,
603538.SH,603538,20171229,94245000,65,269000,1,1,400,
603538.SH,603538,20171229,94351000,66,268800,2,2,1000,500,
603538.SH,603538,20171229,94403000,65,268800,1,1,8700,
603538.SH,603538,20171229,94403000,66,268700,4,4,900,200,200,1200,
603538.SH,603538,20171229,94418000,65,268800,2,2,8700,10000,
603538.SH,603538,20171229,94403000,66,268700,4,4,900,200,200,1200,
603538.SH,603538,20171229,94457000,65,268800,2,2,6700,10000,
603538.SH,603538,20171229,94403000,66,268700,4,4,900,200,200,1200,
603538.SH,603538,20171229,94503000,65,268800,2,2,6100,10000,
603538.SH,603538,20171229,94403000,66,268700,4,4,900,200,200,1200,
603538.SH,603538,20171229,94512000,65,268800,2,2,5100,10000,
603538.SH,603538,20171229,94403000,66,268700,4,4,900,200,200,1200,
603538.SH,603538,20171229,94527000,65,268800,2,2,3100,10000,
603538.SH,603538,20171229,94527000,66,268700,4,4,900,200,200,1200,
603538.SH,603538,20171229,94527000,65,268800,2,2,3100,10000,
603538.SH,603538,20171229,94533000,66,268700,4,4,100,200,200,1200,
603538.SH,603538,20171229,94527000,65,268800,2,2,3100,10000,
603538.SH,603538,20171229,94539000,66,268700,2,2,100,1200,
603538.SH,603538,20171229,94545000,65,268700,1,1,11300,
603538.SH,603538,20171229,94545000,66,268600,5,5,100,100,300,400,900,
603538.SH,603538,20171229,94600000,65,268700,1,1,9400,
603538.SH,603538,20171229,94545000,66,268600,5,5,100,100,300,400,900,
603538.SH,603538,20171229,94603000,65,268700,2,2,9400,600,
603538.SH,603538,20171229,94545000,66,268600,5,5,100,100,300,400,900,
603538.SH,603538,20171229,94609000,65,268700,2,2,8300,600,
603538.SH,603538,20171229,94545000,66,268600,5,5,100,100,300,400,900,
603538.SH,603538,20171229,94615000,65,268700,2,2,6800,600,
603538.SH,603538,20171229,94545000,66,268600,5,5,100,100,300,400,900,
603538.SH,603538,20171229,94648000,65,268700,2,2,6400,600,
603538.SH,603538,20171229,94545000,66,268600,5,5,100,100,300,400,900,
603538.SH,603538,20171229,94700000,65,268700,2,2,5900,600,
603538.SH,603538,20171229,94545000,66,268600,5,5,100,100,300,400,900,
603538.SH,603538,20171229,94709000,65,268700,2,2,5700,600,
603538.SH,603538,20171229,94545000,66,268600,5,5,100,100,300,400,900,
603538.SH,603538,20171229,94709000,65,268700,2,2,5700,600,
603538.SH,603538,20171229,94748000,66,268600,6,6,100,100,300,400,900,500,
603538.SH,603538,20171229,94709000,65,268700,2,2,5700,600,
603538.SH,603538,20171229,94821000,66,268600,3,3,400,900,500,
603538.SH,603538,20171229,94827000,65,268700,2,2,5700,600,
603538.SH,603538,20171229,94827000,66,268600,3,3,300,900,500,
603538.SH,603538,20171229,94827000,65,268700,2,2,5700,600,
603538.SH,603538,20171229,94830000,66,268600,2,2,800,500,
603538.SH,603538,20171229,94842000,65,268600,1,1,1000,
603538.SH,603538,20171229,94842000,66,268500,4,4,1000,500,500,300,
603538.SH,603538,20171229,94848000,65,268700,2,2,1700,600,
603538.SH,603538,20171229,94842000,66,268500,4,4,1000,500,500,300,
603538.SH,603538,20171229,94848000,65,268700,2,2,1700,600,
603538.SH,603538,20171229,94912000,66,268500,5,5,1000,500,500,300,600,
603538.SH,603538,20171229,94848000,65,268700,2,2,1700,600,
603538.SH,603538,20171229,94921000,66,268600,1,1,200,
603538.SH,603538,20171229,94933000,65,268600,1,1,200,
603538.SH,603538,20171229,94933000,66,268500,5,5,1000,500,500,300,600,
603538.SH,603538,20171229,94954000,65,268700,2,2,800,600,
603538.SH,603538,20171229,94954000,66,268600,1,1,200,
603538.SH,603538,20171229,95021000,65,268700,2,2,600,600,
603538.SH,603538,20171229,94954000,66,268600,1,1,200,
603538.SH,603538,20171229,95027000,65,268700,2,2,600,600,
603538.SH,603538,20171229,95027000,66,268600,2,2,200,2000,
